"41.75613","-124.20347","2020-08-20T17:00","PM2.5","1.7","UG/M3","2.0","7","1","Crescent City","North Coast Unified Air Quality Management District","840060150007","840060150007"
"40.776943","-124.177498","2020-08-20T17:00","PM10","5.0","UG/M3","6.0","5","1","Jacobs","North Coast Unified Air Quality Management District","060231004","840060231004"
"43.989643","-124.109312","2020-08-20T17:00","PM2.5","2.1","UG/M3","2.5","9","1","Florence-Department of Forestry","Lane Regional Air Protection Agency","840410390100","840410390100"
"41.51383","-123.99623","2020-08-20T17:00","PM2.5","0.0","UG/M3","-1.0","0","1","Klamath Glen","AIRSIS","840MMAIR1034","840MMAIR1034"
"41.047121","-123.675156","2020-08-20T17:00","PM2.5","2.8","UG/M3","4.0","12","1","MMCA81025","California Air Resources Board","MMCA81025","840MMCA81025"
"42.1617","-123.64835","2020-08-20T17:00","PM2.5","2.7","UG/M3","2.5","11","1","Cave Junction Forest Service","Oregon Dept. of Environmental Quality","410330036","840410330036"
"41.304291","-123.537183","2020-08-20T17:00","PM2.5","56.7","UG/M3","53.0","152","4","MMCA81046","California Air Resources Board","840MMCA81046","840MMCA81046"
"41.789643","-123.392622","2020-08-20T17:00","PM2.5","59.3","UG/M3","64.0","153","4","MMCA81023","California Air Resources Board","MMCA81023","840MMCA81023"
"42.434149","-123.348466","2020-08-20T17:00","PM2.5","2.3","UG/M3","2.3","10","1","Grants Pass - Parkside School","Oregon Dept. of Environmental Quality","410330114","840410330114"
"41.259724","-123.330867","2020-08-20T17:00","PM2.5","22.4","UG/M3","22.0","73","2","MMCA81035","California Air Resources Board","MMCA81035","840MMCA81035"
"44.92261","-123.301956","2020-08-20T17:00","PM2.5","1.6","UG/M3","1.6","7","1","Dallas LaCreole Middle School","Oregon Dept. of Environmental Quality","840410530004","840410530004"
"39.150478","-123.206528","2020-08-20T17:00","PM2.5","3.3","UG/M3","3.0","14","1","Ukiah Library","Mendocino County AQMD","060450006","840060450006"
"39.145733","-123.202995","2020-08-20T17:00","OZONE","20.0","PPB","24.0","19","1","Ukiah District Office","Mendocino County AQMD","060450008","840060450008"
"40.5524","-123.16502","2020-08-20T17:00","PM2.5","37.0","UG/M3","41.0","105","3","MMCA81024","California Air Resources Board","MMCA81024","840MMCA81024"
"44.067223","-123.14135","2020-08-20T17:00","PM2.5","1.6","UG/M3","1.8","7","1","Eugene - Highway 99","Lane Regional Air Protection Agency","410390059","840410390059"
